,Name,Party,GE,Constituency,Margin,election_type,election_year
274,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Party,GE 1984,Potong Pasir,60.3%,GE,1984
275,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Party,GE 1988,Potong Pasir,63.1%,GE,1988
276,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Party,GE 1991,Potong Pasir,69.6%,GE,1991
277,CHIAM See Tong[12 Mar 1935 - ],Singapore People's Party,GE 1997,Potong Pasir,55.2%,GE,1997
278,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Alliance,GE 2001,Potong Pasir,52.4%,GE,2001
279,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Alliance,GE 2006,Potong Pasir,55.8%,GE,2006
280,CHIAM See Tong[12 Mar 1935 - ],Singapore People's Party,GE 2011,Bishan-Toa Payoh GRC,43.1%,GE,2011
281,CHIAM Yeow Juan (John),Workers' Party,GE 1988,Changi,40.6%,GE,1988
282,CHIANG Hai Ding,People's Action Party,BE 1970,Ulu Pandan,75.5%,BE,1970
283,CHIANG Hai Ding,People's Action Party,GE 1972,Ulu Pandan,71.8%,GE,1972
284,CHIANG Hai Ding,People's Action Party,GE 1976,Ulu Pandan,Uncontested,GE,1976
285,CHIANG Hai Ding,People's Action Party,GE 1980,Ulu Pandan,Uncontested,GE,1980
286,CHIANG Seok Keong,Workers' Party,GE 1963,Anson,1.1%,GE,1963
287,CHIANG Seok Keong,Workers' Party,GE 1972,Stamford,28.2%,GE,1972
288,CHIANG Seok Keong,Workers' Party,GE 1976,Kim Seng,22.4%,GE,1976
289,"CHIDAMBARAM, M. K.",Independent,GE 1948,Municipal North-East,14.8%,GE,1948
290,CHIN Harn Tong,People's Action Party,GE 1972,Aljunied,71.5%,GE,1972
291,CHIN Harn Tong,People's Action Party,GE 1976,Aljunied,74.9%,GE,1976
292,CHIN Harn Tong,People's Action Party,GE 1980,Aljunied,84.6%,GE,1980
293,CHIN Harn Tong,People's Action Party,GE 1984,Aljunied,Uncontested,GE,1984
294,CHIN Harn Tong,People's Action Party,GE 1988,Aljunied GRC,56.3%,GE,1988
295,CHIN Harn Tong,People's Action Party,GE 1991,Aljunied GRC,Uncontested,GE,1991
296,CHIN Tet Yung,People's Action Party,GE 1997,Sembawang GRC,Uncontested,GE,1997
297,CHIN Tet Yung,People's Action Party,GE 2001,Sembawang GRC,Uncontested,GE,2001
298,CHIN Tian Choo,Barisan Sosialis,GE 1972,Bukit Ho Swee,19.3%,GE,1972
299,CHIN Tian Choo,Barisan Sosialis,GE 1976,Kim Keat,23.4%,GE,1976
300,CHIN Tian Choo,Workers' Party,GE 1988,Kim Seng,33.1%,GE,1988
301,CHIO Cheng Thun,Barisan Sosialis,GE 1963,Chua Chu Kang,48.6%,GE,1963
302,"CHISTY, Syed Mohamed Abdul Hameed",Independent,MC Apr 1949,Rochore,16.8%,MC Apr,1949
303,"CHISTY, Syed Mohamed Abdul Hameed",Labour Party,MC Dec 1949,Rochore,52.9%,MC Dec,1949
304,"CHISTY, Syed Mohamed Abdul Hameed",Labour Party,GE 1951,Changi,27.5%,GE,1951
305,"CHISTY, Syed Mohamed Abdul Hameed",Independent,CC 1952,Rochore,13.5%,CC,1952
306,"CHIU Weng Hoe, Melvyn",Singaporeans First,GE 2015,Tanjong Pagar GRC,22.3%,GE,2015
307,CHNG Boon Eng,Singapore Alliance,GE 1963,Tanjong Pagar,3.7%,GE,1963
308,CHNG Boon Eng,United National Front,BE 1970,Kampong Kapor,37.6%,BE,1970
309,CHNG Boon Eng,United National Front,GE 1972,Kampong Kapor,26.9%,GE,1972
310,CHNG Chin Siah,Singapore United Front,GE 1984,Fengshan,34.9%,GE,1984
311,CHNG Chin Siah,Workers' Party,GE 1988,Fengshan,42.1%,GE,1988
312,CHNG Chin Siah,National Solidarity Party,GE 1991,Cheng San GRC,35.9%,GE,1991
313,CHNG Hee Kok,People's Action Party,GE 1984,Radin Mas,54.0%,GE,1984
314,CHNG Hee Kok,People's Action Party,GE 1988,Tiong Bahru GRC,57.8%,GE,1988
315,CHNG Hee Kok,People's Action Party,GE 1991,Tampines GRC,59.5%,GE,1991
316,CHNG Hee Kok,People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
317,CH'NG Jit Koon,People's Action Party,GE 1968,Tiong Bahru,Uncontested,GE,1968
318,CH'NG Jit Koon,People's Action Party,GE 1972,Tiong Bahru,75.6%,GE,1972
319,CH'NG Jit Koon,People's Action Party,GE 1976,Tiong Bahru,83.1%,GE,1976
320,CH'NG Jit Koon,People's Action Party,GE 1980,Tiong Bahru,Uncontested,GE,1980
321,CH'NG Jit Koon,People's Action Party,GE 1984,Tiong Bahru,Uncontested,GE,1984
322,CH'NG Jit Koon,People's Action Party,GE 1988,Tiong Bahru GRC,57.8%,GE,1988
323,CH'NG Jit Koon,People's Action Party,GE 1991,Bukit Merah,61.9%,GE,1991
324,CHNG Wee Hong (Michael),National Solidarity Party,GE 1991,Cheng San GRC,35.9%,GE,1991
325,CHON Koon Cheong,Workers' Party,GE 1984,Henderson,41.2%,GE,1984
326,"CHONG-ARULDOSS Yean Yoong, Jeannette Florina",National Solidarity Party,GE 2011,Mountbatten,41.4%,GE,2011
327,"CHONG-ARULDOSS Yean Yoong, Jeannette Florina",Singapore People's Party,GE 2015,Mountbatten,28.1%,GE,2015
328,CHONG Cham Weng (Watson),Workers' Party,GE 2011,Nee Soon GRC,41.6%,GE,2011
329,"CHONG Foh Yin, Henry",Independent,GE 1959,Joo Chiat,2.4%,GE,1959
330,CHONG Kee Hiong,People's Action Party,GE 2015,Bishan-Toa Payoh GRC,73.6%,GE,2015
331,CHONG Tung Shang,Singapore United Front,GE 1984,Eunos,35.2%,GE,1984
332,CHONG Tung Shang,Workers' Party,GE 1988,Siglap,26.3%,GE,1988
333,CHONG Thutt Pitt,Progressive Party,MC Apr 1949,North,16.9%,MC Apr,1949
334,CHONG Thutt Pitt,Progressive Party,MC Dec 1949,North,40.5%,MC Dec,1949
335,CHONG Wai Fung,Singapore Democratic Party,GE 2015,Holland-Bukit Timah GRC,33.4%,GE,2015
336,CHONG Wee Ling,Liberal Socialist Party,BE 1957,Tanjong Pagar,19.0%,BE,1957
337,CHONG Weng Chiew,People's Action Party,GE 2001,Tanjong Pagar GRC,Uncontested,GE,2001
338,"CHONG You Fook, Charles",People's Action Party,GE 1988,Sembawang GRC,70.1%,GE,1988
339,"CHONG You Fook, Charles",People's Action Party,GE 1991,Eunos GRC,52.4%,GE,1991
340,"CHONG You Fook, Charles",People's Action Party,GE 1997,Pasir Ris GRC,70.9%,GE,1997
341,"CHONG You Fook, Charles",People's Action Party,GE 2001,Pasir Ris-Punggol GRC,Uncontested,GE,2001
342,"CHONG You Fook, Charles",People's Action Party,GE 2006,Pasir Ris-Punggol GRC,68.7%,GE,2006
343,"CHONG You Fook, Charles",People's Action Party,GE 2011,Joo Chiat,51.0%,GE,2011
344,"CHONG You Fook, Charles",People's Action Party,GE 2015,Punggol East,51.8%,GE,2015
345,"CHOO Pey Ching, Desmond",People's Action Party,GE 2011,Hougang,35.2%,GE,2011
346,"CHOO Pey Ching, Desmond",People's Action Party,BE 2012,Hougang,37.9%,BE,2012
347,"CHOO Pey Ching, Desmond",People's Action Party,GE 2015,Tampines GRC,72.1%,GE,2015
348,CHOO Yeok Koon,Independent,GE 1959,Kampong Kapor,3.9%,GE,1959
349,CHOO Wee Khiang,People's Action Party,GE 1988,Marine Parade GRC,73.8%,GE,1988
350,CHOO Wee Khiang,People's Action Party,GE 1991,Jalan Besar GRC,Uncontested,GE,1991
351,CHOO Wee Khiang,People's Action Party,GE 1997,Jalan Besar GRC,67.6%,GE,1997
352,CHOONG Chee Kwong,Workers' Party,GE 1980,Cheng San,24.1%,GE,1980
353,CHOONG Hon Heng,National Solidarity Party,GE 2015,Tampines GRC,27.9%,GE,2015
354,CHOR Yeok Eng,People's Action Party,GE 1959,Jurong,70.7%,GE,1959
355,CHOR Yeok Eng,People's Action Party,GE 1963,Bukit Timah,42.3%,GE,1963
356,CHOR Yeok Eng,People's Action Party,BE 1966,Bukit Timah,Uncontested,BE,1966
357,CHOR Yeok Eng,People's Action Party,GE 1968,Bukit Timah,Uncontested,GE,1968
358,CHOR Yeok Eng,People's Action Party,GE 1972,Bukit Timah,66.8%,GE,1972
359,CHOR Yeok Eng,People's Action Party,GE 1976,Bukit Timah,Uncontested,GE,1976
360,CHOR Yeok Eng,People's Action Party,GE 1980,Bukit Timah,Uncontested,GE,1980
361,CHOW Chiok Hock,People's Action Party,GE 1963,Ulu Pandan,44.9%,GE,1963
362,CHOY Kok Wah,Singapore Alliance,GE 1963,Serangoon Gardens,5.5%,GE,1963
363,"CHOY-YONG Su Mei, Elizabeth[29 Nov 1910 - 14 Sep 2006]",Independent,MC 1950,West,33.1%,MC,1950
364,"CHOY-YONG Su Mei, Elizabeth[29 Nov 1910 - 14 Sep 2006]",Progressive Party,GE 1955,Queenstown,15.0%,GE,1955
365,CHUA Bock Kwee,Progressive Party,GE 1955,Havelock,5.6%,GE,1955
366,CHUA Bock Kwee,Liberal Socialist Party,CC 1957,Telok Blangah,48.7%,CC,1957
367,"CHUA Boon Eng, Edward",Workers' Party,GE 1976,Alexandra,24.1%,GE,1976
368,CHUA Chin Kiat,Workers' Party,GE 1959,Tiong Bahru,2.6%,GE,1959
369,CHUA Chin Kiat,Workers' Party,GE 1963,Bras Basah,1.2%,GE,1963
370,"CHUA Chwee Huat, Peter",Workers' Party,GE 1984,Delta,41.3%,GE,1984
371,"CHUA Chwee Huat, Peter",Workers' Party,GE 1988,Leng Kee,35.0%,GE,1988
372,CHUA Eng Huat,Workers' Party,GE 1972,Queenstown,14.3%,GE,1972
373,CHUA Eng Leong,People's Action Party,GE 2015,Aljunied GRC,49.0%,GE,2015
374,CHUA Keng Eng,Liberal Socialist Party,CC 1957,Telok Ayer,29.7%,CC,1957
375,CHUA Kim Kee,Liberal Socialist Party,CC 1957,Ulu Pandan,50.9%,CC,1957
376,CHUA Kim Toh,Independent,GE 1959,Ulu Pandan,1.9%,GE,1959
377,CHUA Kim Watt,Independent,GE 1955,Farrer Park,0.6%,GE,1955
378,CHUA Kim Yeow,Presidential Office,PE 1993,Presidential Office,41.3%,PE,1993
379,CHUA Nguan Key,United Front,GE 1980,Punggol,21.1%,GE,1980
380,CHUA Seng Kian,Liberal Socialist Party,GE 1959,Crawford,8.4%,GE,1959
381,CHUA Seng Kim-Seow Peck Leng[17 Sep 1911 - 13 Apr 2007],Singapore People's Alliance,GE 1959,Mountbatten,33.7%,GE,1959
382,CHUA Seng Kim-Seow Peck Leng[17 Sep 1911 - 13 Apr 2007],Singapore Alliance,GE 1963,Joo Chiat,7.6%,GE,1963
383,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1968,MacPherson,Uncontested,GE,1968
384,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1972,MacPherson,68.8%,GE,1972
385,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1976,MacPherson,Uncontested,GE,1976
386,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1980,MacPherson,86.9%,GE,1980
387,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1984,MacPherson,Uncontested,GE,1984
388,CHUA Sian Chin[26 Nov 1933 - 26 Feb 2014],People's Action Party,GE 1988,MacPherson,66.0%,GE,1988
389,"COOK, William James",United National Front,GE 1972,Joo Chiat,16.5%,GE,1972
390,"COOK, William James",United Front,GE 1976,Katong,23.8%,GE,1976
391,"CORERA, John Cruz",Workers' Party,CC 1957,Delta,54.9%,CC,1957
392,"CORERA, John Cruz",Workers' Party,GE 1984,Alexandra,33.2%,GE,1984
393,"CORERA, John Cruz",Workers' Party,GE 1988,Brickworks GRC,32.6%,GE,1988
394,"CRABB, Charles Harry",Workers' Party,GE 1976,Serangoon Gardens,31.3%,GE,1976
395,DAMANHURI bin Abas,Singapore Democratic Party,GE 2015,Marsiling-Yew Tee GRC,31.3%,GE,2015
396,DARUS bin Shariff,Independent,GE 1963,Geylang Serai,7.6%,GE,1963
397,DARUS bin Shariff,Independent,GE 1968,Geylang Serai,17.0%,GE,1968
398,DARUS bin Shariff,United National Front,GE 1972,Kampong Ubi,7.2%,GE,1972
399,DARUS bin Shariff,United People's Front,GE 1976,Geylang Serai,10.0%,GE,1976
400,DARUS bin Shariff,United People's Front,GE 1980,MacPherson,13.1%,GE,1980
401,"DASARATHA RAJ,Caralapati Raghaviah",Labour Party,MC 1950,Rochore,49.3%,MC,1950
402,"DASARATHA RAJ,Caralapati Raghaviah",Labour Party,GE 1951,Rochore,43.1%,GE,1951
403,"DASARATHA RAJ,Caralapati Raghaviah",Independent,GE 1955,Kampong Kapor,30.2%,GE,1955
404,DAUD bin Mohamed Yunos,Independent,CC 1957,Kampong Glam,18.8%,CC,1957
405,"DAVID, Darryl Wilson",People's Action Party,GE 2015,Ang Mo Kio GRC,78.6%,GE,2015
406,"DAVIES, Edward Vethanayagam",Labour Party,MC Dec 1949,North,59.5%,MC Dec,1949
407,DAVINDER Singh Amar Singh,People's Action Party,GE 1988,Toa Payoh GRC,Uncontested,GE,1988
408,DAVINDER Singh Amar Singh,People's Action Party,GE 1991,Toa Payoh GRC,Uncontested,GE,1991
409,DAVINDER Singh Amar Singh,People's Action Party,GE 1997,Bishan-Toa Payoh GRC,Uncontested,GE,1997
410,DAVINDER Singh Amar Singh,People's Action Party,GE 2001,Bishan-Toa Payoh GRC,Uncontested,GE,2001
411,"D' CRUZ, Anthony",Workers' Party,GE 1997,West Coast GRC,29.9%,GE,1997
412,"DE CONCEICAO, Joseph Francis",People's Action Party,GE 1968,Katong,Uncontested,GE,1968
413,"DE CONCEICAO, Joseph Francis",People's Action Party,GE 1972,Katong,Uncontested,GE,1972
414,"DE CONCEICAO, Joseph Francis",People's Action Party,GE 1976,Katong,76.2%,GE,1976
415,"DE CONCEICAO, Joseph Francis",People's Action Party,GE 1980,Katong,Uncontested,GE,1980
416,"DE GRACIAS, Gertrude Magdeline",Singapore United Front,GE 1984,Marine Parade,29.1%,GE,1984
417,"DE GRACIAS, Gertrude Magdeline",Workers' Party,GE 1988,Bedok GRC,45.1%,GE,1988
418,"DE GRACIAS, Gertrude Magdeline",National Solidarity Party,GE 1991,Cheng San GRC,35.9%,GE,1991
419,"DE SILVA, H. A.",Progressive Party,GE 1955,Punggol-Tampines,20.7%,GE,1955
420,"DE SOUZA, Christopher James",People's Action Party,GE 2006,Holland-Bukit Timah GRC,Uncontested,GE,2006
421,"DE SOUZA, Christopher James",People's Action Party,GE 2011,Holland-Bukit Timah GRC,60.1%,GE,2011
422,"DE SOUZA, Christopher James",People's Action Party,GE 2015,Holland-Bukit Timah GRC,66.6%,GE,2015
423,"DESAI, Chirag Praful",Singaporeans First,GE 2015,Tanjong Pagar GRC,22.3%,GE,2015
424,"DEVAN NAIR, Chengara Veetil[5 Aug 1923 - 7 Dec 2005]",People's Action Party,GE 1955,Farrer Park,33.1%,GE,1955
425,"DEVAN NAIR, Chengara Veetil[5 Aug 1923 - 7 Dec 2005]",People's Action Party,BE 1979,Anson,86.2%,BE,1979
426,"DEVAN NAIR, Chengara Veetil[5 Aug 1923 - 7 Dec 2005]",People's Action Party,GE 1980,Anson,84.1%,GE,1980
427,"DE WIND, Frederick",Workers' Party,GE 1988,Kampong Glam,31.2%,GE,1988
428,DHANABALAN Suppiah[8 Aug 1937 - ],People's Action Party,GE 1976,Kallang,73.9%,GE,1976
429,DHANABALAN Suppiah[8 Aug 1937 - ],People's Action Party,GE 1980,Kallang,Uncontested,GE,1980
430,DHANABALAN Suppiah[8 Aug 1937 - ],People's Action Party,GE 1984,Kallang,64.9%,GE,1984
431,DHANABALAN Suppiah[8 Aug 1937 - ],People's Action Party,GE 1988,Kallang,66.1%,GE,1988
432,DHANABALAN Suppiah[8 Aug 1937 - ],People's Action Party,GE 1991,Toa Payoh GRC,Uncontested,GE,1991
433,"DHARMARAJOO, S. R.",People's Action Party,GE 1963,Farrer Park,55.7%,GE,1963
434,"EDE, John Anthony Moore",Progressive Party,GE 1955,Tanglin,45.7%,GE,1955
435,"ELISHA, Paul",United National Front,GE 1972,Cairnhill,19.1%,GE,1972
436,ENG Chau Sam,United People's Party,GE 1963,Tanglin,3.9%,GE,1963
437,"ESS, Cuthbert Francis Joseph",Progressive Party,MC Apr 1949,West,27.8%,MC Apr,1949
438,"ESS, Cuthbert Francis Joseph",Progressive Party,CC 1951,West,46.0%,CC,1951
439,"ESS, Cuthbert Francis Joseph",Independent,CC 1952,City,21.6%,CC,1952
440,"ESS, Cuthbert Francis Joseph",United Malays National Organisation,CC 1953,West,25.1%,CC,1953
441,"EU-CHIA Cheng Li, Phyllis",Progressive Party,MC Apr 1949,West,26.0%,MC Apr,1949
442,"EU-CHIA Cheng Li, Phyllis",Progressive Party,MC Dec 1949,West,62.8%,MC Dec,1949
443,"EU-CHIA Cheng Li, Phyllis",Progressive Party,CC 1952,West,51.4%,CC,1952
444,FATIMAH binte Abdul Lateef,People's Action Party,GE 2006,Marine Parade GRC,Uncontested,GE,2006
445,FATIMAH binte Abdul Lateef,People's Action Party,GE 2011,Marine Parade GRC,56.6%,GE,2011
446,FATIMAH binte Abdul Lateef,People's Action Party,GE 2015,Marine Parade GRC,64.1%,GE,2015
447,FATIMAH NOR binte Golam Shawal,Malay Union,GE 1959,Changi,3.7%,GE,1959
448,"FERNANDEZ, T. R.",Independent,CC 1957,Delta,4.2%,CC,1957
449,"FERNANDEZ, Victor Louis",Labour Front,GE 1959,Serangoon Gardens,4.2%,GE,1959
450,FIRUZ KHAN Moklis Khan,Workers' Party,GE 2015,Marine Parade GRC,35.9%,GE,2015
451,FOK Tai Loy,Singapore Democratic Party,GE 1980,Cairnhill,28.2%,GE,1980
452,FONG Chin Leong (Reno),Singapore Democratic Alliance,GE 2001,Jalan Besar GRC,25.5%,GE,2001
453,FONG Chin Leong (Reno),Singapore Democratic Alliance,GE 2006,Jalan Besar GRC,30.7%,GE,2006
454,FONG Chin Leong (Reno),National Solidarity Party,GE 2011,Tampines GRC,42.8%,GE,2011
455,FONG Chin Leong (Reno),National Solidarity Party,GE 2015,Tampines GRC,27.9%,GE,2015
456,"FONG Jen, Arthur",People's Action Party,GE 2001,West Coast GRC,Uncontested,GE,2001
457,"FONG Jen, Arthur",People's Action Party,GE 2006,West Coast GRC,Uncontested,GE,2006
458,"FONG Jen, Arthur",People's Action Party,GE 2011,West Coast GRC,66.6%,GE,2011
459,FONG Kim Heng,People's Action Party,GE 1959,Joo Chiat,39.6%,GE,1959
460,FONG Kim Heng,People's Action Party,GE 1963,Joo Chiat,65.9%,GE,1963
461,"FONG Sip Chee, Andrew",People's Action Party,GE 1963,Stamford,53.3%,GE,1963
462,"FONG Sip Chee, Andrew",People's Action Party,GE 1968,Stamford,Uncontested,GE,1968
463,"FONG Sip Chee, Andrew",People's Action Party,GE 1972,Stamford,71.8%,GE,1972
464,"FONG Sip Chee, Andrew",People's Action Party,GE 1976,Kampong Chai Chee,59.9%,GE,1976
465,"FONG Sip Chee, Andrew",People's Action Party,GE 1980,Kampong Chai Chee,81.2%,GE,1980
466,"FONG Sip Chee, Andrew",People's Action Party,GE 1984,Kampong Chai Chee,57.2%,GE,1984
467,"FOO Chee Keng, Cedric",People's Action Party,GE 2001,West Coast GRC,Uncontested,GE,2001
468,"FOO Chee Keng, Cedric",People's Action Party,GE 2006,West Coast GRC,Uncontested,GE,2006
469,"FOO Chee Keng, Cedric",People's Action Party,GE 2011,Pioneer,60.7%,GE,2011
470,"FOO Chee Keng, Cedric",People's Action Party,GE 2015,Pioneer,76.3%,GE,2015
471,FOO Few Ting,Progressive Party,GE 1955,Tiong Bahru,35.8%,GE,1955
472,FOO Ho Fang,Liberal Socialist Party,GE 1959,Bras Basah,21.0%,GE,1959
473,FOO Kok Wah (Victor),Singapore Democratic Alliance,GE 2001,Tampines GRC,26.7%,GE,2001
474,FOO Mee Har,People's Action Party,GE 2011,West Coast GRC,66.6%,GE,2011
475,FOO Mee Har,People's Action Party,GE 2015,West Coast GRC,78.6%,GE,2015
476,"FOO Ming Jin, David",Singaporeans First,GE 2015,Jurong GRC,20.7%,GE,2015
477,FOO Seck Guan (Kenneth),Workers' Party,GE 2015,Nee Soon GRC,33.2%,GE,2015
478,"FU Hai Yien, Grace",People's Action Party,GE 2006,Jurong GRC,Uncontested,GE,2006
479,"FU Hai Yien, Grace",People's Action Party,GE 2011,Yuhua,66.9%,GE,2011
480,"FU Hai Yien, Grace",People's Action Party,GE 2015,Yuhua,73.5%,GE,2015
481,FUNG Yin Ching,People's Action Party,GE 1959,Stamford,49.2%,GE,1959
482,FUNG Yin Ching,Barisan Sosialis,GE 1963,Mountbatten,32.6%,GE,1963
483,"GAN Eng Guan, John",Workers' Party,GE 1984,Pasir Panjang,38.4%,GE,1984
484,"GAN Eng Guan, John",Workers' Party,GE 1988,Pasir Panjang GRC,38.4%,GE,1988
485,"GAN Eng Guan, John",Workers' Party,GE 1991,Jurong,30.6%,GE,1991
486,"GAN Eng Guan, John",Workers' Party,GE 1997,West Coast GRC,29.9%,GE,1997
487,GAN Kim Yong,People's Action Party,GE 2001,Holland-Bt Panjang GRC,Uncontested,GE,2001
488,GAN Kim Yong,People's Action Party,GE 2006,Chua Chu Kang,60.4%,GE,2006
489,GAN Kim Yong,People's Action Party,GE 2011,Chua Chu Kang GRC,61.2%,GE,2011
490,GAN Kim Yong,People's Action Party,GE 2015,Chua Chu Kang GRC,76.9%,GE,2015
491,"GAN Lai Chiang, Andy",People's Action Party,GE 1991,Potong Pasir,30.4%,GE,1991
492,"GAN Lai Chiang, Andy",People's Action Party,GE 1997,Potong Pasir,44.8%,GE,1997
493,"GAN Lai Chiang, Andy",People's Action Party,GE 2001,Marine Parade GRC,Uncontested,GE,2001
494,GAN Thiam Poh,People's Action Party,GE 2011,Pasir Ris-Punggol GRC,64.8%,GE,2011
495,GAN Thiam Poh,People's Action Party,GE 2015,Ang Mo Kio GRC,78.6%,GE,2015
496,GANDHI Karuppiah Ambalam,Singapore Democratic Party,GE 1997,Jalan Besar GRC,32.4%,GE,1997
497,GANDHI Karuppiah Ambalam,Singapore Democratic Party,GE 2001,Jurong GRC,20.2%,GE,2001
498,GAW Sien Khian (George),Progressive Party,MC Apr 1949,West,27.3%,MC Apr,1949
499,GAY Wan Guay,Liberal Socialist Party,GE 1959,Joo Chiat,9.1%,GE,1959
500,"GHOWS, S. G. Mohamed",Progressive Party,GE 1955,Changi,29.2%,GE,1955
501,GIAM Lai Cheng,United People's Front,GE 1988,Nee Soon Central,3.9%,GE,1988
502,"GIAM Yean Song, Gerald",Workers' Party,GE 2011,East Coast GRC,45.2%,GE,2011
503,"GIAM Yean Song, Gerald",Workers' Party,GE 2015,East Coast GRC,39.3%,GE,2015
504,GNAGURU Thamboo Mylvaganam,Independent,GE 1988,Tanjong Pagar,18.4%,GE,1988
505,GNAGURU Thamboo Mylvaganam,Independent,GE 1991,Tanglin,1.2%,GE,1991
506,GO Hui Leng (Jaslyn),Singapore Democratic Party,GE 2015,Yuhua,26.5%,GE,2015
507,"GOH, Anthony",Democratic Party,GE 1955,Punggol-Tampines,23.9%,GE,1955
508,GOH Chee Wee,People's Action Party,GE 1980,Boon Lay,74.2%,GE,1980
509,GOH Chee Wee,People's Action Party,GE 1984,Boon Lay,69.6%,GE,1984
510,GOH Chee Wee,People's Action Party,GE 1988,Boon Lay,72.0%,GE,1988
511,GOH Chee Wee,People's Action Party,GE 1991,Boon Lay,73.3%,GE,1991
512,GOH Chee Wee,People's Action Party,GE 1997,Boon Lay,66.1%,GE,1997
513,GOH Chew Chua[1893 - 25 Jun 1971],People's Action Party,GE 1955,Punggol-Tampines,55.4%,GE,1955
514,GOH Chew Chua[1893 - 25 Jun 1971],People's Action Party,GE 1959,Tampines,73.3%,GE,1959
515,GOH Chew Chua[1893 - 25 Jun 1971],People's Action Party,GE 1963,Tampines,29.1%,GE,1963
516,GOH Chok Tong[20 May 1941 - ],People's Action Party,GE 1976,Marine Parade,78.6%,GE,1976
517,GOH Chok Tong[20 May 1941 - ],People's Action Party,GE 1980,Marine Parade,Uncontested,GE,1980
518,GOH Chok Tong[20 May 1941 - ],People's Action Party,GE 1984,Marine Parade,70.9%,GE,1984
519,GOH Chok Tong[20 May 1941 - ],People's Action Party,GE 1988,Marine Parade GRC,73.8%,GE,1988
520,GOH Chok Tong[20 May 1941 - ],People's Action Party,GE 1991,Marine Parade GRC,77.2%,GE,1991
521,BE 1992Marine Parade GRC72.9%,People's Action Party,GE 1997,Marine Parade GRC,Uncontested,GE,1997
522,BE 1992Marine Parade GRC72.9%,People's Action Party,GE 2001,Marine Parade GRC,Uncontested,GE,2001
523,BE 1992Marine Parade GRC72.9%,People's Action Party,GE 2006,Marine Parade GRC,Uncontested,GE,2006
524,BE 1992Marine Parade GRC72.9%,People's Action Party,GE 2011,Marine Parade GRC,56.6%,GE,2011
525,BE 1992Marine Parade GRC72.9%,People's Action Party,GE 2015,Marine Parade GRC,64.1%,GE,2015
526,GOH Choon Kang,People's Action Party,GE 1984,Braddell Heights,Uncontested,GE,1984
527,GOH Choon Kang,People's Action Party,GE 1988,Braddell Heights,58.8%,GE,1988
528,GOH Choon Kang,People's Action Party,GE 1991,Braddell Heights,52.3%,GE,1991
529,GOH Choon Kang,People's Action Party,GE 1997,Marine Parade GRC,Uncontested,GE,1997
530,GOH Hin Shong,Singapore People's Alliance,GE 1959,Bras Basah,15.8%,GE,1959
531,GOH Hong Keng,United People's Party,GE 1963,Telok Ayer,12.1%,GE,1963
532,GOH Hood Kiat,Independent,MC Apr 1949,East,28.1%,MC Apr,1949
533,GOH Hood Kiat,Independent,GE 1951,Katong,35.8%,GE,1951
534,GOH Hood Kiat,Independent,GE 1955,Geylang,20.7%,GE,1955
535,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1959,Kreta Ayer,73.3%,GE,1959
536,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1963,Kreta Ayer,65.5%,GE,1963
537,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1968,Kreta Ayer,Uncontested,GE,1968
538,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1972,Kreta Ayer,Uncontested,GE,1972
539,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1976,Kreta Ayer,Uncontested,GE,1976
540,GOH Keng Swee (Robert)[6 Oct 1918 - 14 May 2010],People's Action Party,GE 1980,Kreta Ayer,Uncontested,GE,1980
541,GOH Keow Wah (Gilbert),National Solidarity Party,GE 2011,Tampines GRC,42.8%,GE,2011
542,GOH Keow Wah (Gilbert),Reform Party,GE 2015,Ang Mo Kio GRC,21.4%,GE,2015
